VCD info: dumpfile ula_or.vcd opened for output.

### Test: or
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       432    0x02    0x01    0xb0    0xb1    0xb1
       433    0x02    0x01    0xb1    0xb1    0xb1
       434    0x02    0x01    0xb2    0xb3    0xb3
       435    0x02    0x01    0xb3    0xb3    0xb3
       436    0x02    0x01    0xb4    0xb5    0xb5
       437    0x02    0x01    0xb5    0xb5    0xb5
       438    0x02    0x01    0xb6    0xb7    0xb7
       439    0x02    0x01    0xb7    0xb7    0xb7
       440    0x02    0x01    0xb8    0xb9    0xb9
       441    0x02    0x01    0xb9    0xb9    0xb9
       442    0x02    0x01    0xba    0xbb    0xbb
       443    0x02    0x01    0xbb    0xbb    0xbb
       444    0x02    0x01    0xbc    0xbd    0xbd
       445    0x02    0x01    0xbd    0xbd    0xbd
       446    0x02    0x01    0xbe    0xbf    0xbf
       447    0x02    0x01    0xbf    0xbf    0xbf
       448    0x02    0x01    0xc0    0xc1    0xc1
       449    0x02    0x01    0xc1    0xc1    0xc1
       450    0x02    0x01    0xc2    0xc3    0xc3
       451    0x02    0x01    0xc3    0xc3    0xc3
       452    0x02    0x01    0xc4    0xc5    0xc5
       453    0x02    0x01    0xc5    0xc5    0xc5
       454    0x02    0x01    0xc6    0xc7    0xc7
       455    0x02    0x01    0xc7    0xc7    0xc7
       456    0x02    0x01    0xc8    0xc9    0xc9
       457    0x02    0x01    0xc9    0xc9    0xc9
       458    0x02    0x01    0xca    0xcb    0xcb
       459    0x02    0x01    0xcb    0xcb    0xcb
       460    0x02    0x01    0xcc    0xcd    0xcd
       461    0x02    0x01    0xcd    0xcd    0xcd
       462    0x02    0x01    0xce    0xcf    0xcf
       463    0x02    0x01    0xcf    0xcf    0xcf
       464    0x02    0x01    0xd0    0xd1    0xd1
       465    0x02    0x01    0xd1    0xd1    0xd1
       466    0x02    0x01    0xd2    0xd3    0xd3
       467    0x02    0x01    0xd3    0xd3    0xd3
       468    0x02    0x01    0xd4    0xd5    0xd5
       469    0x02    0x01    0xd5    0xd5    0xd5
       470    0x02    0x01    0xd6    0xd7    0xd7
       471    0x02    0x01    0xd7    0xd7    0xd7
       472    0x02    0x01    0xd8    0xd9    0xd9
       473    0x02    0x01    0xd9    0xd9    0xd9
       474    0x02    0x01    0xda    0xdb    0xdb
       475    0x02    0x01    0xdb    0xdb    0xdb
       476    0x02    0x01    0xdc    0xdd    0xdd
       477    0x02    0x01    0xdd    0xdd    0xdd
       478    0x02    0x01    0xde    0xdf    0xdf
       479    0x02    0x01    0xdf    0xdf    0xdf
       480    0x02    0x01    0xe0    0xe1    0xe1
       481    0x02    0x01    0xe1    0xe1    0xe1
       482    0x02    0x01    0xe2    0xe3    0xe3
       483    0x02    0x01    0xe3    0xe3    0xe3
       484    0x02    0x01    0xe4    0xe5    0xe5
       485    0x02    0x01    0xe5    0xe5    0xe5
       486    0x02    0x01    0xe6    0xe7    0xe7
       487    0x02    0x01    0xe7    0xe7    0xe7
       488    0x02    0x01    0xe8    0xe9    0xe9
       489    0x02    0x01    0xe9    0xe9    0xe9
       490    0x02    0x01    0xea    0xeb    0xeb
       491    0x02    0x01    0xeb    0xeb    0xeb
       492    0x02    0x01    0xec    0xed    0xed
       493    0x02    0x01    0xed    0xed    0xed
       494    0x02    0x01    0xee    0xef    0xef
       495    0x02    0x01    0xef    0xef    0xef
       496    0x02    0x01    0xf0    0xf1    0xf1
       497    0x02    0x01    0xf1    0xf1    0xf1
       498    0x02    0x01    0xf2    0xf3    0xf3
       499    0x02    0x01    0xf3    0xf3    0xf3
       500    0x02    0x01    0xf4    0xf5    0xf5
       501    0x02    0x01    0xf5    0xf5    0xf5
       502    0x02    0x01    0xf6    0xf7    0xf7
       503    0x02    0x01    0xf7    0xf7    0xf7
       504    0x02    0x01    0xf8    0xf9    0xf9
       505    0x02    0x01    0xf9    0xf9    0xf9
       506    0x02    0x01    0xfa    0xfb    0xfb
       507    0x02    0x01    0xfb    0xfb    0xfb
       508    0x02    0x01    0xfc    0xfd    0xfd
       509    0x02    0x01    0xfd    0xfd    0xfd
       510    0x02    0x01    0xfe    0xff    0xff
       511    0x02    0x01    0xff    0xff    0xff

      TIME   ULA_OP     A       B    RESULT EXPECTED
       512    0x02    0x02    0x00    0x02    0x02
       513    0x02    0x02    0x01    0x03    0x03
       514    0x02    0x02    0x02    0x02    0x02
       515    0x02    0x02    0x03    0x03    0x03
       516    0x02    0x02    0x04    0x06    0x06
       517    0x02    0x02    0x05    0x07    0x07
       518    0x02    0x02    0x06    0x06    0x06
       519    0x02    0x02    0x07    0x07    0x07
       520    0x02    0x02    0x08    0x0a    0x0a
       521    0x02    0x02    0x09    0x0b    0x0b
       522    0x02    0x02    0x0a    0x0a    0x0a
       523    0x02    0x02    0x0b    0x0b    0x0b
       524    0x02    0x02    0x0c    0x0e    0x0e
       525    0x02    0x02    0x0d    0x0f    0x0f
       526    0x02    0x02    0x0e    0x0e    0x0e
       527    0x02    0x02    0x0f    0x0f    0x0f
       528    0x02    0x02    0x10    0x12    0x12
       529    0x02    0x02    0x11    0x13    0x13
       530    0x02    0x02    0x12    0x12    0x12
       531    0x02    0x02    0x13    0x13    0x13
       532    0x02    0x02    0x14    0x16    0x16
       533    0x02    0x02    0x15    0x17    0x17
       534    0x02    0x02    0x16    0x16    0x16
       535    0x02    0x02    0x17    0x17    0x17
       536    0x02    0x02    0x18    0x1a    0x1a
       537    0x02    0x02    0x19    0x1b    0x1b
       538    0x02    0x02    0x1a    0x1a    0x1a
       539    0x02    0x02    0x1b    0x1b    0x1b
       540    0x02    0x02    0x1c    0x1e    0x1e
       541    0x02    0x02    0x1d    0x1f    0x1f
       542    0x02    0x02    0x1e    0x1e    0x1e
       543    0x02    0x02    0x1f    0x1f    0x1f
       544    0x02    0x02    0x20    0x22    0x22
       545    0x02    0x02    0x21    0x23    0x23
       546    0x02    0x02    0x22    0x22    0x22
       547    0x02    0x02    0x23    0x23    0x23
