VCD info: dumpfile sp.vcd opened for output.

### Test: stack pointer
-------------------------------------------------------------------------------------------------
      TIME     CLK     WE      OP      SP   EXPECTED
      2028    0x01    0x00    0x01    0x7e    0x7e
      2032    0x00    0x00    0x01    0x7e    0x7e
      2036    0x01    0x01    0x01    0x7e    0x7e
      2040    0x00    0x01    0x01    0x7e    0x7e
      2044    0x01    0x00    0x01    0x7f    0x7f
      2048    0x00    0x00    0x01    0x7f    0x7f
      2052    0x01    0x01    0x01    0x7f    0x7f
      2056    0x00    0x01    0x01    0x7f    0x7f
      2060    0x01    0x00    0x01    0x80    0x80
      2064    0x00    0x00    0x01    0x80    0x80
      2068    0x01    0x01    0x01    0x80    0x80
      2072    0x00    0x01    0x01    0x80    0x80
      2076    0x01    0x00    0x01    0x81    0x81
      2080    0x00    0x00    0x01    0x81    0x81
      2084    0x01    0x01    0x01    0x81    0x81
      2088    0x00    0x01    0x01    0x81    0x81
      2092    0x01    0x00    0x01    0x82    0x82
      2096    0x00    0x00    0x01    0x82    0x82
      2100    0x01    0x01    0x01    0x82    0x82
      2104    0x00    0x01    0x01    0x82    0x82
      2108    0x01    0x00    0x01    0x83    0x83
      2112    0x00    0x00    0x01    0x83    0x83
      2116    0x01    0x01    0x01    0x83    0x83
      2120    0x00    0x01    0x01    0x83    0x83
      2124    0x01    0x00    0x01    0x84    0x84
      2128    0x00    0x00    0x01    0x84    0x84
      2132    0x01    0x01    0x01    0x84    0x84
      2136    0x00    0x01    0x01    0x84    0x84
      2140    0x01    0x00    0x01    0x85    0x85
      2144    0x00    0x00    0x01    0x85    0x85
      2148    0x01    0x01    0x01    0x85    0x85
      2152    0x00    0x01    0x01    0x85    0x85
      2156    0x01    0x00    0x01    0x86    0x86
      2160    0x00    0x00    0x01    0x86    0x86
      2164    0x01    0x01    0x01    0x86    0x86
      2168    0x00    0x01    0x01    0x86    0x86
      2172    0x01    0x00    0x01    0x87    0x87
      2176    0x00    0x00    0x01    0x87    0x87
      2180    0x01    0x01    0x01    0x87    0x87
      2184    0x00    0x01    0x01    0x87    0x87
      2188    0x01    0x00    0x01    0x88    0x88
      2192    0x00    0x00    0x01    0x88    0x88
      2196    0x01    0x01    0x01    0x88    0x88
      2200    0x00    0x01    0x01    0x88    0x88
      2204    0x01    0x00    0x01    0x89    0x89
      2208    0x00    0x00    0x01    0x89    0x89
      2212    0x01    0x01    0x01    0x89    0x89
      2216    0x00    0x01    0x01    0x89    0x89
      2220    0x01    0x00    0x01    0x8a    0x8a
      2224    0x00    0x00    0x01    0x8a    0x8a
      2228    0x01    0x01    0x01    0x8a    0x8a
